municipality,oevk,no_votes18,opp_18,fidesz_18,jobbik18,m_type,no_votes22,fidesz22,opp_alliance22,mi_hazank22,opp_affiliation22,opp_won22,opp22is_jobbik18,mihazank22is_jobbik18,jobbik18on_mihazank22list,jobbik18on_opp22list,jobbik18on_preelection
Aba,Fejér megye 5. számú egyéni választókerület,2154,853,1230,692,Falu,2297,1571,493,145,DK,0,0,0,1,0,0
Abádszalók,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,1866,783,1042,603,Falu,1809,1161,523,93,JOBBIK,0,1,0,0,1,1
Abaliget,Baranya megye 4. számú egyéni választókerület,373,195,146,72,Falu,365,177,143,21,DK,0,0,0,0,0,0
Abasár,Heves megye 2. számú egyéni választókerület,1420,762,637,610,Falu,1444,772,553,77,JOBBIK,0,0,0,0,0,0
Abaújalpár,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,42,18,21,10,Falu,40,30,6,2,JOBBIK,0,0,0,0,0,0
Abaújkér,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,338,148,182,122,Falu,317,210,81,19,JOBBIK,0,0,0,0,0,0
Abaújlak,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,55,16,38,13,Falu,51,41,3,5,JOBBIK,0,0,0,0,0,0
Abaújszántó,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,1412,725,648,497,Falu,1372,801,433,75,JOBBIK,0,0,0,0,0,0
Abaújszolnok,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,52,20,29,3,Falu,57,47,7,1,JOBBIK,0,0,0,0,0,0
Abaújvár,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,103,27,74,20,Falu,97,85,10,1,JOBBIK,0,0,0,0,0,0
Abda,Győr-Moson-Sopron megye 5. számú egyéni választókerület,1872,864,923,507,Falu,1864,1063,568,121,JOBBIK,0,0,0,0,0,0
Abod,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,108,26,78,19,Falu,94,72,14,7,JOBBIK,0,0,0,0,0,0
Abony,Pest megye 12. számú egyéni választókerület,7110,2901,4023,2029,Kisváros,7236,4545,1763,636,JOBBIK,0,0,0,0,0,0
Ábrahámhegy,Veszprém megye 3. számú egyéni választókerület,336,150,182,122,Falu,364,204,142,0,JOBBIK,0,1,0,0,1,1
Ács,Komárom-Esztergom megye 3. számú egyéni választókerület,3532,1580,1889,753,Kisváros,3426,2112,940,213,MSZP,0,0,0,0,0,0
Acsa,Pest megye 4. számú egyéni választókerület,681,246,412,170,Falu,737,498,178,37,JOBBIK,0,0,0,0,0,0
Acsád,Vas megye 2. számú egyéni választókerület,323,126,193,61,Falu,344,241,75,13,MSZP,0,0,0,0,0,0
Acsalag,Győr-Moson-Sopron megye 3. számú egyéni választókerület,318,69,249,42,Falu,325,264,43,15,MSZP,0,0,0,0,1,1
Ácsteszér,Komárom-Esztergom megye 3. számú egyéni választókerület,355,116,234,84,Falu,375,250,89,26,MSZP,0,0,0,0,0,0
Adács,Heves megye 3. számú egyéni választókerület,1293,621,654,524,Falu,1353,859,354,117,MSZP,0,0,0,0,0,0
Ádánd,Somogy megye 4. számú egyéni választókerület,1059,440,610,255,Falu,1121,727,358,0,JOBBIK,0,1,0,0,1,1
Adásztevel,Veszprém megye 4. számú egyéni választókerület,471,132,333,80,Falu,459,315,103,35,MSZP,0,0,0,0,0,0
Adony,Fejér megye 4. számú egyéni választókerület,2019,1081,895,744,Falu,2118,1147,707,130,JOBBIK,0,0,0,0,0,0
Adorjánháza,Veszprém megye 4. számú egyéni választókerület,210,42,164,29,Falu,191,153,25,9,MSZP,0,0,0,0,0,0
Adorjás,Baranya megye 4. számú egyéni választókerület,80,24,50,11,Falu,82,72,8,1,DK,0,0,0,0,0,0
Ág,Baranya megye 3. számú egyéni választókerület,92,28,54,15,Falu,96,63,26,1,JOBBIK,0,0,0,0,0,0
Ágasegyháza,Bács-Kiskun megye 4. számú egyéni választókerület,996,322,651,200,Falu,973,666,177,83,LMP,0,0,0,0,0,0
Ágfalva,Győr-Moson-Sopron megye 4. számú egyéni választókerület,1243,486,710,233,Falu,1275,755,382,116,JOBBIK,0,1,0,0,1,1
Aggtelek,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,325,139,177,121,Falu,311,186,79,6,MSZP,0,0,0,0,0,1
Agyagosszergény,Győr-Moson-Sopron megye 3. számú egyéni választókerület,556,180,372,129,Falu,588,414,128,36,MSZP,0,0,0,0,1,1
Ajak,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,2171,786,1335,668,Falu,2000,1055,634,82,JOBBIK,0,0,0,0,1,1
Ajka,Veszprém megye 3. számú egyéni választókerület,15884,8438,7021,5753,Középváros,15177,7081,7230,0,JOBBIK,0,1,0,0,1,1
Aka,Komárom-Esztergom megye 3. számú egyéni választókerület,151,49,96,31,Falu,150,102,32,13,MSZP,0,0,0,0,0,0
Akasztó,Bács-Kiskun megye 3. számú egyéni választókerület,1777,774,992,663,Falu,1840,1288,361,134,DK,0,0,0,0,0,0
Alacska,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,352,189,154,136,Falu,324,184,100,26,JOBBIK,0,0,0,0,0,0
Alap,Fejér megye 5. számú egyéni választókerület,909,319,552,249,Falu,926,650,190,54,DK,0,0,0,1,0,0
Alattyán,Jász-Nagykun-Szolnok megye 2. számú egyéni választókerület,962,356,584,241,Falu,1002,735,223,30,MSZP,0,0,0,0,0,0
Albertirsa,Pest megye 10. számú egyéni választókerület,6497,3160,3223,1549,Kisváros,6978,3880,2234,531,PÁRBESZÉD,0,0,0,0,0,0
Alcsútdoboz,Fejér megye 3. számú egyéni választókerület,820,227,585,123,Falu,872,648,146,37,DK,0,0,0,0,1,0
Aldebrő,Heves megye 2. számú egyéni választókerület,408,207,199,179,Falu,404,238,121,40,JOBBIK,0,0,0,0,0,0
Algyő,Csongrád megye 4. számú egyéni választókerület,3015,1644,1251,1212,Kisváros,3043,1379,1309,204,ÚVNP,0,0,0,0,0,0
Alibánfa,Zala megye 2. számú egyéni választókerület,262,107,151,72,Falu,248,142,83,15,MOMENTUM,0,0,0,0,0,0
Almamellék,Baranya megye 4. számú egyéni választókerület,230,104,122,13,Falu,186,116,61,6,DK,0,0,0,0,0,0
Almásfüzitő,Komárom-Esztergom megye 3. számú egyéni választókerület,1221,618,568,386,Falu,1138,548,402,107,MSZP,0,0,0,0,0,0
Almásháza,Zala megye 2. számú egyéni választókerület,46,16,30,12,Falu,44,25,13,5,MOMENTUM,0,0,0,0,0,0
Almáskamarás,Békés megye 4. számú egyéni választókerület,421,205,201,183,Falu,378,230,130,10,JOBBIK,0,1,0,0,0,1
Almáskeresztúr,Baranya megye 4. számú egyéni választókerület,51,27,18,7,Falu,45,23,14,6,DK,0,0,0,0,0,0
Álmosd,Hajdú-Bihar megye 3. számú egyéni választókerület,750,296,430,162,Falu,817,547,228,34,JOBBIK,0,0,0,0,0,0
Alsóberecki,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,364,196,162,108,Falu,364,183,145,27,JOBBIK,0,0,0,0,0,0
Alsóbogát,Somogy megye 3. számú egyéni választókerület,142,46,93,34,Falu,124,89,28,1,JOBBIK,0,1,0,0,1,1
Alsódobsza,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,169,58,108,39,Falu,163,132,28,0,MSZP,0,0,0,0,0,0
Alsógagy,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,50,18,31,10,Falu,48,37,6,5,JOBBIK,0,0,0,0,0,0
Alsómocsolád,Baranya megye 3. számú egyéni választókerület,148,53,92,29,Falu,149,109,29,5,JOBBIK,0,0,0,0,0,0
Alsónána,Tolna megye 2. számú egyéni választókerület,399,159,238,89,Falu,366,225,110,29,DK,0,0,0,0,0,0
Alsónémedi,Pest megye 11. számú egyéni választókerület,2771,1124,1587,730,Kisváros,3007,1902,732,240,DK,0,0,0,0,0,0
Alsónemesapáti,Zala megye 2. számú egyéni választókerület,373,134,235,106,Falu,359,238,69,39,MOMENTUM,0,0,0,0,0,0
Alsónyék,Tolna megye 1. számú egyéni választókerület,355,151,189,49,Falu,361,217,102,26,MSZP,0,0,0,0,0,0
Alsóörs,Veszprém megye 2. számú egyéni választókerület,1092,461,611,347,Falu,1183,643,431,57,DK,0,0,0,0,0,0
Alsópáhok,Zala megye 2. számú egyéni választókerület,779,321,448,228,Falu,827,510,221,57,MOMENTUM,0,0,0,0,0,0
Alsópetény,Nógrád megye 2. számú egyéni választókerület,326,163,154,111,Falu,323,179,111,20,MOMENTUM,0,0,0,0,0,0
