ID;Település;Összes szavazat;Összesített ellenzéki szavazatok száma;Fideszre leadott szavazatok száma;Első hely;Második hely;Harmadik hely;Első hely párt;Második hely párt;Harmadik hely párt;Év
2018_1;Aba;2154;853;1230;1230;692;90;FIDESZ-KDNP;JOBBIK;DK;2018
2018_2;Abádszalók;1866;783;1042;1042;603;125;FIDESZ-KDNP;JOBBIK;DK;2018
2018_3;Abaliget;373;195;146;146;93;72;FIDESZ-KDNP;MSZP-P;JOBBIK;2018
2018_4;Abasár;1420;762;637;637;610;123;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_5;Abaújalpár;42;18;21;21;10;4;FIDESZ-KDNP;JOBBIK;DK;2018
2018_6;Abaújkér;338;148;182;182;122;21;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_7;Abaújlak;55;16;38;38;13;3;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_8;Abaújszántó;1412;725;648;648;497;166;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_9;Abaújszolnok;52;20;29;29;17;3;FIDESZ-KDNP;MSZP-P;JOBBIK;2018
2018_10;Abaújvár;103;27;74;74;20;6;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_11;Abda;1872;864;923;923;507;213;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_12;Abod;108;26;78;78;19;4;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_13;Abony;7110;2901;4023;4023;2029;489;FIDESZ-KDNP;JOBBIK;DK;2018
2018_14;Ábrahámhegy;336;150;182;182;122;18;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_15;Ács;3532;1580;1889;1889;753;425;FIDESZ-KDNP;JOBBIK;MOMENTUM;2018
2018_16;Acsa;681;246;412;412;170;71;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_17;Acsád;323;126;193;193;61;48;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_18;Acsalag;318;69;249;249;42;18;FIDESZ-KDNP;JOBBIK;DK;2018
2018_19;Ácsteszér;355;116;234;234;84;22;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_20;Adács;1293;621;654;654;524;76;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_21;Ádánd;1059;440;610;610;255;166;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_22;Adásztevel;471;132;333;333;80;41;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_23;Adony;2019;1081;895;895;744;230;FIDESZ-KDNP;JOBBIK;DK;2018
2018_24;Adorjánháza;210;42;164;164;29;8;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_25;Adorjás;80;24;50;50;13;11;FIDESZ-KDNP;MSZP-P;JOBBIK;2018
2018_26;Ág;92;28;54;54;15;8;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_27;Ágasegyháza;996;322;651;651;200;71;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_28;Ágfalva;1243;486;710;710;233;175;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_29;Aggtelek;325;139;177;177;121;12;FIDESZ-KDNP;JOBBIK;DK;2018
2018_30;Agyagosszergény;556;180;372;372;129;29;FIDESZ-KDNP;JOBBIK;DK;2018
2018_31;Ajak;2171;786;1335;1335;668;68;FIDESZ-KDNP;JOBBIK;DK;2018
2018_32;Ajka;15884;8438;7021;7021;5753;2248;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_33;Aka;151;49;96;96;31;14;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_34;Akasztó;1777;774;992;992;663;78;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_35;Alacska;352;189;154;154;136;45;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_36;Alap;909;319;552;552;249;53;FIDESZ-KDNP;JOBBIK;DK;2018
2018_37;Alattyán;962;356;584;584;241;59;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_38;Albertirsa;6497;3160;3223;3223;1549;1229;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_39;Alcsútdoboz;820;227;585;585;123;65;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_40;Aldebrő;408;207;199;199;179;19;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_41;Algyő;3015;1644;1251;1251;1212;304;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_42;Alibánfa;262;107;151;151;72;21;FIDESZ-KDNP;JOBBIK;DK;2018
2018_43;Almamellék;230;104;122;122;90;13;FIDESZ-KDNP;MSZP-P;JOBBIK;2018
2018_44;Almásfüzitő;1221;618;568;568;386;155;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_45;Almásháza;46;16;30;30;12;2;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_46;Almáskamarás;421;205;201;201;183;13;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_47;Almáskeresztúr;51;27;18;20;18;7;MSZP-P;FIDESZ-KDNP;JOBBIK;2018
2018_48;Álmosd;750;296;430;430;162;105;FIDESZ-KDNP;JOBBIK;DK;2018
2018_49;Alsóberecki;364;196;162;162;108;76;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_50;Alsóbogát;142;46;93;93;34;12;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_51;Alsódobsza;169;58;108;108;39;17;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_52;Alsógagy;50;18;31;31;10;8;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_53;Alsómocsolád;148;53;92;92;29;13;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_54;Alsónána;399;159;238;238;89;35;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_55;Alsónémedi;2771;1124;1587;1587;730;250;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_56;Alsónemesapáti;373;134;235;235;106;17;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_57;Alsónyék;355;151;189;189;102;49;FIDESZ-KDNP;LMP;JOBBIK;2018
2018_58;Alsóörs;1092;461;611;611;347;100;FIDESZ-KDNP;JOBBIK;DK;2018
2018_59;Alsópáhok;779;321;448;448;228;61;FIDESZ-KDNP;JOBBIK;DK;2018
2018_60;Alsópetény;326;163;154;154;111;40;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_61;Alsórajk;162;82;78;78;68;9;FIDESZ-KDNP;JOBBIK;DK;2018
2018_62;Alsóregmec;114;54;58;58;34;18;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_63;Alsószenterzsébet;47;9;38;38;6;3;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_64;Alsószentiván;295;107;177;177;73;29;FIDESZ-KDNP;JOBBIK;DK;2018
2018_65;Alsószentmárton;489;66;385;385;48;29;FIDESZ-KDNP;MSZP-P;MAGYARORSZÁGI CIGÁNYPÁRT;2018
2018_66;Alsószölnök;195;75;118;118;67;5;FIDESZ-KDNP;JOBBIK;DK;2018
2018_67;Alsószuha;265;103;160;160;63;20;FIDESZ-KDNP;JOBBIK;MOMENTUM;2018
2018_68;Alsótelekes;69;35;33;33;23;9;FIDESZ-KDNP;JOBBIK;DK;2018
2018_69;Alsótold;166;74;84;84;36;33;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_70;Alsóújlak;335;92;239;239;71;12;FIDESZ-KDNP;JOBBIK;LMP;2018
2018_71;Alsóvadász;627;221;352;352;153;52;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_72;Alsózsolca;2829;1318;1433;1433;999;192;FIDESZ-KDNP;JOBBIK;DK;2018
2018_73;Ambrózfalva;256;140;108;108;107;27;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_74;Anarcs;937;332;589;589;268;37;FIDESZ-KDNP;JOBBIK;DK;2018
2018_75;Andocs;538;165;364;364;83;75;FIDESZ-KDNP;MSZP-P;JOBBIK;2018
2018_76;Andornaktálya;1632;806;728;728;667;92;FIDESZ-KDNP;JOBBIK;DK;2018
2018_77;Andrásfa;125;32;92;92;26;3;FIDESZ-KDNP;JOBBIK;DK;2018
2018_78;Annavölgy;436;253;161;161;152;86;FIDESZ-KDNP;JOBBIK;DK;2018
2018_79;Apácatorna;81;21;59;59;13;6;FIDESZ-KDNP;JOBBIK;MSZP-P;2018
2018_80;Apagy;1120;461;630;630;361;52;FIDESZ-KDNP;JOBBIK;DK;2018
