ID,Település,Összes szavazat,Összesített ellenzéki szavazatok száma,Fideszre leadott szavazatok száma,JOBBIK
2018_65,Alsószentmárton,489,66,385,3
2018_277,Beret,112,22,58,8
2018_286,Besence,54,11,20,4
2018_327,Bódvalenke,65,2,52,1
2018_395,Budapest II. kerület,53627,29732,22767,
2018_398,Budapest IX. kerület,27799,15569,10480,
2018_404,Budapest XI. kerület,81297,46044,33286,
2018_405,Budapest XII. kerület,37541,20275,16201,3142
2018_496,Csenyéte,116,0,86,0
2018_640,Drávapiski,39,6,28,2
2018_751,Fáj,217,2,211,0
2018_774,Felsőgagy,55,17,24,6
2018_846,Gagyapáti,14,5,9,1
2018_894,Gilvánfa,146,9,129,1
2018_932,Gyöngyfa,63,11,49,3
2018_1065,Hirics,94,10,76,2
2018_1082,Horváthertelend,29,16,13,0
2018_1305,Keresztéte,18,5,13,0
2018_1355,Kiscsécs,106,3,102,0
2018_1461,Kovácsszénája,45,17,27,4
2018_1523,Külsősárd,41,3,28,0
2018_1597,Lúzsok,81,12,63,2
2018_1622,Magyarlukafa,48,23,22,1
2018_1663,Marócsa,57,7,47,0
2018_2105,Pálmajor,141,3,137,0
2018_2236,Pusztaapáti,23,4,19,0
2018_2522,Szakácsi,68,0,64,0
2018_2913,Udvari,137,20,115,0
2018_3008,Vásárosbéc,103,55,42,3
2018_3173,Zsennye,71,12,59,3
