ID,Választókerület,Nyertes,Nyertesre leadott szavazatok száma,Nyertesre leadott szavazatok aránya a választókerületben leadott összes szavazaton belül,Második hely,Másodikra leadott szavazatok száma,Másodikra leadott szavazatok aránya a választókerületben leadott összes szavazaton belül,info,Fideszre leadott szavazatok száma,Összesített ellenzéki szavazatok száma,Év,,,
2018_1,Budapest 1. számú egyéni választókerület,Csárdi Antal (LMP),23345,48.73,Hollik István (FIDESZ-KDNP),20031,41.81,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='LMP' class='first first2'><td>Csárdi Antal (LMP)</td><td>23345 (48,73%)</td></tr><tr class='FIDESZKDNP'><td>Hollik István (FIDESZ-KDNP)</td><td>20031 (41,81%)</td></tr><tr class='JOBBIK'><td>Losonczy Pál Péter (JOBBIK)</td><td>3060 (6,39%)</td></tr><tr class='MKKP'><td>Horváth András Gergely (MKKP)</td><td>1474 (3,08%)</td></tr></table>",20031,26405,2018,,,
2018_2,Budapest 2. számú egyéni választókerület,Dr. Simicskó István (FIDESZ-KDNP),23403,42.16,Gy. Németh Erzsébet (DK),22494,40.53,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Simicskó István (FIDESZ-KDNP)</td><td>23403 (42,16%)</td></tr><tr class='DK'><td>Gy. Németh Erzsébet (DK)</td><td>22494 (40,53%)</td></tr><tr class='LMP'><td>Kreitler-Sas Máté (LMP)</td><td>3384 (6,1%)</td></tr><tr class='JOBBIK'><td>Dr. Bardócz-Tódor András (JOBBIK)</td><td>3252 (5,86%)</td></tr><tr class='MOMENTUM'><td>Bedő Dávid (MOMENTUM)</td><td>1540 (2,77%)</td></tr><tr class='MKKP'><td>Fischer Roland (MKKP)</td><td>990 (1,78%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Benyovszky Gábor (MAGYAR MUNKÁSPÁRT)</td><td>248 (0,45%)</td></tr><tr class='SPORTOSÉSEGÉSZSÉGESMAGYARORSZÁGÉRTPÁRT'><td>Petre-Varga Fruzsina Zsuzsanna (SPORTOS ÉS EGÉSZSÉGES MAGYARORSZÁGÉRT PÁRT)</td><td>195 (0,35%)</td></tr></table>",23403,30670,2018,,,
2018_3,Budapest 3. számú egyéni választókerület,Dr. Gulyás Gergely Győző (FIDESZ-KDNP),23173,42.71,Bauer Tamás (DK),21176,39.03,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Gulyás Gergely Győző (FIDESZ-KDNP)</td><td>23173 (42,71%)</td></tr><tr class='DK'><td>Bauer Tamás (DK)</td><td>21176 (39,03%)</td></tr><tr class='LMP'><td>Hajdu Mária (LMP)</td><td>3787 (6,98%)</td></tr><tr class='JOBBIK'><td>Gyöngyösi Márton Balázs (JOBBIK)</td><td>3142 (5,79%)</td></tr><tr class='MKKP'><td>Kovács Gergely (MKKP)</td><td>1530 (2,82%)</td></tr><tr class='MOMENTUM'><td>Kádár Barnabás Áron (MOMENTUM)</td><td>1449 (2,67%)</td></tr></table>",23173,29554,2018,,,
2018_4,Budapest 4. számú egyéni választókerület,Varga Mihály (FIDESZ-KDNP),24208,41.82,Niedermüller Péter (DK),21496,37.14,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Varga Mihály (FIDESZ-KDNP)</td><td>24208 (41,82%)</td></tr><tr class='DK'><td>Niedermüller Péter (DK)</td><td>21496 (37,14%)</td></tr><tr class='LMP'><td>Ungár Péter Károly (LMP)</td><td>5848 (10,1%)</td></tr><tr class='JOBBIK'><td>Kovács Tamás Ferenc (JOBBIK)</td><td>3585 (6,19%)</td></tr><tr class='MOMENTUM'><td>Benedek Márton (MOMENTUM)</td><td>1538 (2,66%)</td></tr><tr class='MKKP'><td>Juhász Veronika Anna (MKKP)</td><td>1044 (1,8%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Arató István (MAGYAR MUNKÁSPÁRT)</td><td>167 (0,29%)</td></tr></table>",24208,32467,2018,,,
2018_5,Budapest 5. számú egyéni választókerület,Dr. Oláh Lajos (DK),20598,45.85,Dr. Bajkai István (FIDESZ-KDNP),16687,37.14,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='DK' class='first first2'><td>Dr. Oláh Lajos (DK)</td><td>20598 (45,85%)</td></tr><tr class='FIDESZKDNP'><td>Dr. Bajkai István (FIDESZ-KDNP)</td><td>16687 (37,14%)</td></tr><tr class='JOBBIK'><td>Stummer János (JOBBIK)</td><td>3171 (7,06%)</td></tr><tr class='LMP'><td>Moldován László (LMP)</td><td>3055 (6,8%)</td></tr><tr class='MKKP'><td>Döme Zsuzsanna (MKKP)</td><td>1414 (3,15%)</td></tr></table>",16687,26824,2018,,,
2018_6,Budapest 6. számú egyéni választókerület,Dr. Kocsis Máté Sándor (FIDESZ-KDNP),18818,40.51,Ara-Kovács Attila (DK),14947,32.17,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='FIDESZKDNP' class='first first2'><td>Dr. Kocsis Máté Sándor (FIDESZ-KDNP)</td><td>18818 (40,51%)</td></tr><tr class='DK'><td>Ara-Kovács Attila (DK)</td><td>14947 (32,17%)</td></tr><tr class='JOBBIK'><td>Dúró Dóra (JOBBIK)</td><td>6001 (12,92%)</td></tr><tr class='LMP'><td>Jakabfy Tamás (LMP)</td><td>2582 (5,56%)</td></tr><tr class='EGYÜTT'><td>Baranyi Krisztina (EGYÜTT)</td><td>1454 (3,13%)</td></tr><tr class='MOMENTUM'><td>Dr. Cseh Katalin (MOMENTUM)</td><td>1190 (2,56%)</td></tr><tr class='MKKP'><td>Racskó Gábor (MKKP)</td><td>1065 (2,29%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Konczos László József (MAGYAR MUNKÁSPÁRT)</td><td>222 (0,48%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Jakab Tamás (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>105 (0,23%)</td></tr><tr class='KELLAZÖSSZEFOGÁSPÁRT'><td>Schauber Krisztina (KELL AZ ÖSSZEFOGÁS PÁRT)</td><td>39 (0,08%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Dr. Suda Dezső József (IRÁNYTŰ PÁRT)</td><td>33 (0,07%)</td></tr></table>",18818,26174,2018,,,
2018_7,Budapest 7. számú egyéni választókerület,Hiszékeny Dezső (MSZP-P),33412,56.48,Harrach Tamás (FIDESZ-KDNP),16854,28.49,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='MSZPPÁRBESZÉD' class='first first2'><td>Hiszékeny Dezső (MSZP-PÁRBESZÉD)</td><td>33412 (56,48%)</td></tr><tr class='FIDESZKDNP'><td>Harrach Tamás (FIDESZ-KDNP)</td><td>16854 (28,49%)</td></tr><tr class='JOBBIK'><td>Magvasi Adrián (JOBBIK)</td><td>3591 (6,07%)</td></tr><tr class='LMP'><td>Dr. Kerékgyártó István (LMP)</td><td>2447 (4,14%)</td></tr><tr class='MOMENTUM'><td>Hajnal Miklós (MOMENTUM)</td><td>1520 (2,57%)</td></tr><tr class='MKKP'><td>Sebő Ferenc (MKKP)</td><td>1337 (2,26%)</td></tr></table>",16854,40970,2018,,,
2018_8,Budapest 8. számú egyéni választókerület,Tóth Csaba János (MSZP-P),27736,47.23,Dr. Jelen Tamás (FIDESZ-KDNP),20588,35.06,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='MSZPPÁRBESZÉD' class='first first2'><td>Tóth Csaba János (MSZP-PÁRBESZÉD)</td><td>27736 (47,23%)</td></tr><tr class='FIDESZKDNP'><td>Dr. Jelen Tamás (FIDESZ-KDNP)</td><td>20588 (35,06%)</td></tr><tr class='JOBBIK'><td>Szávay István (JOBBIK)</td><td>4492 (7,65%)</td></tr><tr class='LMP'><td>Barta János (LMP)</td><td>2410 (4,1%)</td></tr><tr class='MOMENTUM'><td>Szücs Attila (MOMENTUM)</td><td>1771 (3,02%)</td></tr><tr class='MKKP'><td>Victora Zsolt (MKKP)</td><td>1518 (2,58%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Szentpáli Kolos (MAGYAR MUNKÁSPÁRT)</td><td>209 (0,36%)</td></tr></table>",20588,36409,2018,,,
2018_9,Budapest 9. számú egyéni választókerület,Burány Sándor (MSZP-P),22010,40.78,Dr. György István (FIDESZ-KDNP),21222,39.32,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='MSZPPÁRBESZÉD' class='first first2'><td>Burány Sándor (MSZP-PÁRBESZÉD)</td><td>22010 (40,78%)</td></tr><tr class='FIDESZKDNP'><td>Dr. György István (FIDESZ-KDNP)</td><td>21222 (39,32%)</td></tr><tr class='JOBBIK'><td>Tubák István (JOBBIK)</td><td>5437 (10,07%)</td></tr><tr class='LMP'><td>Demeter Márta (LMP)</td><td>3522 (6,53%)</td></tr><tr class='MOMENTUM'><td>Tölcsér Borbála (MOMENTUM)</td><td>1139 (2,11%)</td></tr><tr class='MAGYARMUNKÁSPÁRT'><td>Kerezsi László (MAGYAR MUNKÁSPÁRT)</td><td>223 (0,41%)</td></tr><tr class='MAGYARIGAZSÁGÉSÉLETPÁRTJA'><td>Závoczki Tibor (MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA)</td><td>114 (0,21%)</td></tr><tr class='KÖZÖSNEVEZŐ2018'><td>Pálfi Margit Erzsébet (KÖZÖS NEVEZŐ 2018)</td><td>81 (0,15%)</td></tr><tr class='NEMZETIEGYÜTTMŰKÖDÉSÉSMEGBÉKÉLÉSPÁRT'><td>Kovács Csaba (NEMZETI EGYÜTTMŰKÖDÉS ÉS MEGBÉKÉLÉS PÁRT)</td><td>68 (0,13%)</td></tr><tr class='HAJRÁMAGYARORSZÁG!PÁRT'><td>Lantos Tivadar (HAJRÁ MAGYARORSZÁG! PÁRT)</td><td>68 (0,13%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Kara Sándor (IRÁNYTŰ PÁRT)</td><td>58 (0,11%)</td></tr><tr><td>Postásné Balázs Ildikó Ilona ()</td><td>34 (0,06%)</td></tr></table>",21222,32108,2018,,,
2018_10,Budapest 10. számú egyéni választókerület,Szabó Timea (MSZP-P),27017,48.15,Menczer Erzsébet Lívia (FIDESZ-KDNP),20403,36.36,"<table><tr><th>Jelöltek</th><th>Szavazatok</th></tr><tr class='MSZPPÁRBESZÉD' class='first first2'><td>Szabó Timea (MSZP-PÁRBESZÉD)</td><td>27017 (48,15%)</td></tr><tr class='FIDESZKDNP'><td>Menczer Erzsébet Lívia (FIDESZ-KDNP)</td><td>20403 (36,36%)</td></tr><tr class='JOBBIK'><td>Zsiga-Kárpát Dániel Gábor (JOBBIK)</td><td>6070 (10,82%)</td></tr><tr class='MOMENTUM'><td>Donáth Anna Júlia (MOMENTUM)</td><td>2213 (3,94%)</td></tr><tr><td>Papp László Árpád ()</td><td>141 (0,25%)</td></tr><tr class='IRÁNYTŰPÁRT'><td>Póznik György Csaba (IRÁNYTŰ PÁRT)</td><td>139 (0,25%)</td></tr><tr class='HAJRÁMAGYARORSZÁG!PÁRT'><td>Petővári Rolland (HAJRÁ MAGYARORSZÁG! PÁRT)</td><td>127 (0,23%)</td></tr></table>",20403,35300,2018,,,
