telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Aba,3607,2317,2297,64.24,63.68,1571,493,52,13,,23,145,,,,,,,,2300,63.76,508,22,54,17,147,1552,Falu
Abádszalók,3254,1837,1809,56.45,55.59,1161,523,,21,11,,93,,,,,,,,1816,55.81,506,9,38,18,99,1146,Falu
Abaliget,510,369,365,72.35,71.57,177,143,16,,,,21,8,,,,,,,366,71.76,140,4,21,1,19,178,Falu
Abasár,2051,1462,1444,71.28,70.4,772,553,,16,,,77,26,,,,,,,1438,70.11,531,13,47,8,92,747,Falu
Abaújalpár,60,40,40,66.67,66.67,30,6,,2,,,2,,,,,,,,39,65,7,,,2,1,29,Falu
Abaújkér,475,324,317,68.21,66.74,210,81,5,,,,19,2,,,,,,,318,66.95,79,,4,2,21,203,Falu
Abaújlak,81,51,51,62.96,62.96,41,3,1,,,,5,,,,1,,,,50,61.73,2,,2,1,6,39,Falu
Abaújszántó,2258,1395,1372,61.78,60.76,801,433,22,14,4,7,75,16,,,,,,,1381,61.16,414,10,26,17,92,822,Falu
Abaújszolnok,115,60,57,52.17,49.57,47,7,1,,,,1,,,,1,,,,57,49.57,6,,1,1,,49,Falu
Abaújvár,129,99,97,76.74,75.19,85,10,,,,,1,1,,,,,,,99,76.74,13,,,1,2,83,Falu
