oevk,opp_candidate_22,opp_affiliation22,opp_won22,jobbik_candidate18,opp22is_jobbik18,mihazank22is_jobbik18,jobbik18on_mihazank22list,jobbik18on_opp22list,jobbik18on_preelection
Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Sápi Mónika,DK,0,ADORJÁN BÉLA,0,0,0,0,0
Vas megye 3. számú egyéni választókerület,Bana Tibor,LMP,0,BANA TIBOR,0,0,0,0,1
Baranya megye 4. számú egyéni választókerület,Szarkándi Lajosné,DK,0,ANDRICS ALIZ,0,0,0,0,0
Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Földi István,JOBBIK,0,APÁTI ISTVÁN,0,1,1,0,0
Fejér megye 5. számú egyéni választókerület,Kertész Éva,DK,0,ÁRGYELÁN JÁNOS,0,0,1,0,0
Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Kiss Sándor,MSZP,0,FARKAS PÉTER BARNABÁS,0,0,0,0,1
Bács-Kiskun megye 1. számú egyéni választókerület,Szõkéné Kopping Rita,DK,0,LEJER ZOLTÁN,0,0,0,0,1
Budapest 2. számú egyéni választókerület,Orosz Anna,MOMENTUM,1,BARDÓCZ-TÓDOR ANDRÁS,0,0,0,0,0
Budapest 16. számú egyéni választókerület,Hiller István,MSZP,1,BENCSIK JÁNOS,0,0,0,0,0
Tolna megye 3. számú egyéni választókerület,Bencze János,JOBBIK,0,BENCZE JÁNOS,1,0,0,1,1
Zala megye 1. számú egyéni választókerület,Csidei Irén,DK,0,BENKE RICHÁRD,0,0,0,1,1
Budapest 17. számú egyéni választókerület,Szabó Szabolcs,MOMENTUM,1,BERECZKI MIKLÓS,0,0,0,0,0
Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Jézsó Gábor,MSZP,0,BIRÓ LÁSZLÓ,0,0,0,0,0
Komárom-Esztergom megye 1. számú egyéni választókerület,Konczer Erik,DK,0,BODA BÁNK LÁSZLÓ,0,1,1,0,0
Pest megye 9. számú egyéni választókerület,Schmuck Erzsébet,LMP,0,BOZSIK JÓZSEF,0,0,0,0,0
Győr-Moson-Sopron megye 4. számú egyéni választókerület,Brenner Koloman,JOBBIK,0,BRENNER KOLOMAN,1,0,0,1,1
Jász-Nagykun-Szolnok megye 2. számú egyéni választókerület,Kertész Ottó,MSZP,0,BUDAI LÓRÁNT,0,0,0,0,0
Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Csányi Tamás,JOBBIK,0,CSÁNYI TAMÁS,1,0,0,1,1
Pest megye 2. számú egyéni választókerület,Szél Bernadett,MOMENTUM,0,CSÁSZÁRNÉ KOLLÁR TÍMEA ANNAMÁRIA,0,0,0,0,0
Pest megye 3. számú egyéni választókerület,Buzinkay György,MOMENTUM,0,PÁL GÁBOR,0,0,0,0,1
Hajdú-Bihar megye 3. számú egyéni választókerület,Salamon Gergõ,JOBBIK,0,CSIKAI JÓZSEF,0,0,0,0,0
Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Sziráki Pál,DK,0,CSIKÓS ATTILA,0,0,0,0,0
Hajdú-Bihar megye 6. számú egyéni választókerület,Hegedüs Péter,JOBBIK,0,DEMETER PÁL,0,0,0,0,0
Békés megye 3. számú egyéni választókerület,Leel-Õssy Gábor,DK,0,DÉVÉNYI-DABROWSKY GÉZA,0,0,0,0,0
Nógrád megye 2. számú egyéni választókerület,Gyenes Szilárd,MOMENTUM,0,DOBROCSI LÉNÁRD,0,0,0,0,0
Budapest 6. számú egyéni választókerület,Jámbor András,PÁRBESZÉD,1,DÚRÓ DÓRA,0,1,1,0,0
Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Üveges Gábor,JOBBIK,0,EGYED ZSOLT,0,0,0,0,0
Csongrád megye 2. számú egyéni választókerület,Mihálik Edvin,MOMENTUM,0,FACKELMANN ISTVÁN,0,0,0,0,0
Bács-Kiskun megye 5. számú egyéni választókerület,Molnár László,DK,0,FARKAS GERGELY,0,0,0,0,0
Békés megye 4. számú egyéni választókerület,Szabó Ervin,JOBBIK,0,SZABÓ ERVIN,1,0,0,0,1
Fejér megye 2. számú egyéni választókerület,Fazakas Attila,JOBBIK,0,FAZAKAS ATTILA,1,0,0,1,1
Pest megye 4. számú egyéni választókerület,Inotay Gergely,JOBBIK,0,FEHÉR ZSOLT,0,0,0,0,0
Tolna megye 2. számú egyéni választókerület,Szabó Loránd,DK,0,FENYVESI CSABA ZSOLT,0,0,0,0,0
